"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"10-14 years";"Vallensb�k";630;569
"2024M01";"10-14 years";"Aller�d";870;864
"2024M01";"10-14 years";"Egedal";1448;1442
"2024M01";"10-14 years";"Fredensborg";1307;1226
"2024M01";"10-14 years";"Frederikssund";1265;1177
"2024M01";"10-14 years";"Fures�";1533;1374
"2024M01";"10-14 years";"Gribskov";1045;1028
"2024M01";"10-14 years";"Halsn�s";829;758
"2024M01";"10-14 years";"Helsing�r";1668;1651
"2024M01";"10-14 years";"Hiller�d";1543;1587
"2024M01";"10-14 years";"H�rsholm";784;715
"2024M01";"10-14 years";"Rudersdal";1942;1766
"2024M01";"10-14 years";"Bornholm";943;907
"2024M01";"10-14 years";"Christians�";6;8
"2024M01";"10-14 years";"Region Sj�lland";23474;22338
"2024M01";"10-14 years";"Greve";1629;1511
"2024M01";"10-14 years";"K�ge";1716;1662
"2024M01";"10-14 years";"Lejre";855;871
"2024M01";"10-14 years";"Roskilde";2768;2590
"2024M01";"10-14 years";"Solr�d";787;750
"2024M01";"10-14 years";"Faxe";1027;915
"2024M01";"10-14 years";"Guldborgsund";1451;1377
"2024M01";"10-14 years";"Holb�k";2162;2096
"2024M01";"10-14 years";"Kalundborg";1289;1204
"2024M01";"10-14 years";"Lolland";942;930
"2024M01";"10-14 years";"N�stved";2341;2249
"2024M01";"10-14 years";"Odsherred";765;727
"2024M01";"10-14 years";"Ringsted";1011;1012
"2024M01";"10-14 years";"Slagelse";2038;1951
"2024M01";"10-14 years";"Sor�";919;810
"2024M01";"10-14 years";"Stevns";645;621
"2024M01";"10-14 years";"Vordingborg";1129;1062
"2024M01";"10-14 years";"Region Syddanmark";34853;33133
"2024M01";"10-14 years";"Assens";1181;1121
"2024M01";"10-14 years";"Faaborg-Midtfyn";1564;1412
"2024M01";"10-14 years";"Kerteminde";666;608
"2024M01";"10-14 years";"Langeland";259;252
"2024M01";"10-14 years";"Middelfart";1127;1049
"2024M01";"10-14 years";"Nordfyns";849;761
"2024M01";"10-14 years";"Nyborg";851;846
"2024M01";"10-14 years";"Odense";5168;4919
"2024M01";"10-14 years";"Svendborg";1740;1621
"2024M01";"10-14 years";"�r�";120;135
"2024M01";"10-14 years";"Billund";780;810
"2024M01";"10-14 years";"Esbjerg";3262;3126
"2024M01";"10-14 years";"Fan�";81;91
"2024M01";"10-14 years";"Fredericia";1512;1422
"2024M01";"10-14 years";"Haderslev";1564;1503
"2024M01";"10-14 years";"Kolding";2851;2734
"2024M01";"10-14 years";"S�nderborg";2089;2018
"2024M01";"10-14 years";"T�nder";1032;974
"2024M01";"10-14 years";"Varde";1482;1389
"2024M01";"10-14 years";"Vejen";1294;1262
"2024M01";"10-14 years";"Vejle";3706;3483
"2024M01";"10-14 years";"Aabenraa";1675;1597
"2024M01";"10-14 years";"Region Midtjylland";38551;36708
"2024M01";"10-14 years";"Favrskov";1680;1600
"2024M01";"10-14 years";"Hedensted";1539;1303
"2024M01";"10-14 years";"Horsens";2937;2793
"2024M01";"10-14 years";"Norddjurs";946;861
"2024M01";"10-14 years";"Odder";697;654
"2024M01";"10-14 years";"Randers";2747;2712
"2024M01";"10-14 years";"Sams�";83;76
"2024M01";"10-14 years";"Silkeborg";2884;2907
"2024M01";"10-14 years";"Skanderborg";2220;2135
"2024M01";"10-14 years";"Syddjurs";1269;1206
"2024M01";"10-14 years";"Aarhus";8680;8401
"2024M01";"10-14 years";"Herning";2746;2606
"2024M01";"10-14 years";"Holstebro";1793;1653
"2024M01";"10-14 years";"Ikast-Brande";1381;1229
"2024M01";"10-14 years";"Lemvig";468;458
"2024M01";"10-14 years";"Ringk�bing-Skjern";1602;1522
"2024M01";"10-14 years";"Skive";1248;1225
"2024M01";"10-14 years";"Struer";558;514
"2024M01";"10-14 years";"Viborg";3073;2853
"2024M01";"10-14 years";"Region Nordjylland";15928;15049
"2024M01";"10-14 years";"Br�nderslev";1119;1008
"2024M01";"10-14 years";"Frederikshavn";1447;1386
"2024M01";"10-14 years";"Hj�rring";1751;1649
"2024M01";"10-14 years";"Jammerbugt";1162;1009
"2024M01";"10-14 years";"L�s�";25;31
"2024M01";"10-14 years";"Mariagerfjord";1153;1070
"2024M01";"10-14 years";"Mors�";544;503
"2024M01";"10-14 years";"Rebild";1030;968
"2024M01";"10-14 years";"Thisted";1180;1149
"2024M01";"10-14 years";"Vesthimmerlands";976;1022
"2024M01";"10-14 years";"Aalborg";5541;5254
"2024M01";"15-19 years";"All Denmark";179755;171158
"2024M01";"15-19 years";"Region Hovedstaden";53886;51014
"2024M01";"15-19 years";"Copenhagen";13791;13619
"2024M01";"15-19 years";"Frederiksberg";2390;2374
"2024M01";"15-19 years";"Drag�r";499;432
"2024M01";"15-19 years";"T�rnby";1473;1344
"2024M01";"15-19 years";"Albertslund";950;881
"2024M01";"15-19 years";"Ballerup";1613;1491
"2024M01";"15-19 years";"Br�ndby";1095;1153
"2024M01";"15-19 years";"Gentofte";2810;2688
"2024M01";"15-19 years";"Gladsaxe";2391;2064
"2024M01";"15-19 years";"Glostrup";705;540
"2024M01";"15-19 years";"Herlev";940;884
"2024M01";"15-19 years";"Hvidovre";1722;1553
"2024M01";"15-19 years";"H�je-Taastrup";1745;1570
"2024M01";"15-19 years";"Ish�j";762;702
"2024M01";"15-19 years";"Lyngby-Taarb�k";1963;1782
"2024M01";"15-19 years";"R�dovre";1302;1228
"2024M01";"15-19 years";"Vallensb�k";547;532
"2024M01";"15-19 years";"Aller�d";1007;921
"2024M01";"15-19 years";"Egedal";1655;1507
"2024M01";"15-19 years";"Fredensborg";1339;1315
